ID,Year,Country name,Latitude,Longitude,Start date,End date,Type,regions,Cause,References,Fatalities,"Losses (mln EUR, 2020)"
2334,1994,Switzerland,47.5859649,9.1428769,18.05.1994,19.05.1994,Flash,"[(47.5859649, 9.1428769)]",Extreme rainfall up to 100 mm in 12 h,Rothlisberger (1995); Sturmarchiv Schweiz (2022),None,132
6026,1995,Switzerland,46.6960615,9.6027351,14.07.1995,15.07.1995,Flash,"[(46.6960615, 9.6027351)]",Extreme rainfall up to 50 mm in 1 h,Sturmarchiv Schweiz (2022),None,
6027,1997,Switzerland,46.8382351,7.6004502,10.07.1997,25.07.1997,River,"[(46.8382351, 7.6004502)]",Heavy rainfall (3 waves),Rothlisberger (1998); Sturmarchiv Schweiz (2022),None,22
6027,1997,Switzerland,47.5092938,7.6588333,10.07.1997,25.07.1997,River,"[(47.5092938, 7.6588333)]",Heavy rainfall (3 waves),Rothlisberger (1998); Sturmarchiv Schweiz (2022),None,22
6028,1997,Switzerland,46.8382351,7.6004502,05.08.1997,06.08.1997,Flash,"[(46.8382351, 7.6004502)]",Extreme rainfall,Rothlisberger (1998); Sturmarchiv Schweiz (2022),None,6
6028,1997,Switzerland,47.0505452,8.3054682,05.08.1997,06.08.1997,Flash,"[(47.0505452, 8.3054682)]",Extreme rainfall,Rothlisberger (1998); Sturmarchiv Schweiz (2022),None,6
1463,1997,Switzerland,46.8613857,8.2067825,15.08.1997,16.08.1997,Flash,"[(46.8613857, 8.2067825)]",Extreme rainfall up to 150 mm in 2 h,CRED (2023); BWG (2004); Rothlisberger (1998),None,121
6030,1999,Switzerland,47.5579097,7.5927728,20.02.1999,22.02.1999,River,"[(47.5579097, 7.5927728)]",Snowmelt,Hegg et al. (2000),None,40
6030,1999,Switzerland,47.5092938,7.6588333,20.02.1999,22.02.1999,River,"[(47.5092938, 7.6588333)]",Snowmelt,Hegg et al. (2000),None,40
6030,1999,Switzerland,47.412396,8.1948321,20.02.1999,22.02.1999,River,"[(47.412396, 8.1948321)]",Snowmelt,Hegg et al. (2000),None,40
1464,1999,Switzerland,46.8382351,7.6004502,12.05.1999,29.05.1999,River,"[(46.8382351, 7.6004502)]",Snowmelt and rainfall,CRED (2023); Barredo (2007); Brakenridge (2022); Hilker et al. (2009),2,630
1464,1999,Switzerland,47.31874,7.6698284,12.05.1999,29.05.1999,River,"[(47.31874, 7.6698284)]",Snowmelt and rainfall,CRED (2023); Barredo (2007); Brakenridge (2022); Hilker et al. (2009),2,630
1464,1999,Switzerland,47.5579097,7.5927728,12.05.1999,29.05.1999,River,"[(47.5579097, 7.5927728)]",Snowmelt and rainfall,CRED (2023); Barredo (2007); Brakenridge (2022); Hilker et al. (2009),2,630
1464,1999,Switzerland,47.5092938,7.6588333,12.05.1999,29.05.1999,River,"[(47.5092938, 7.6588333)]",Snowmelt and rainfall,CRED (2023); Barredo (2007); Brakenridge (2022); Hilker et al. (2009),2,630
1464,1999,Switzerland,47.412396,8.1948321,12.05.1999,29.05.1999,River,"[(47.412396, 8.1948321)]",Snowmelt and rainfall,CRED (2023); Barredo (2007); Brakenridge (2022); Hilker et al. (2009),2,630
1464,1999,Switzerland,47.3744489,8.5410422,12.05.1999,29.05.1999,River,"[(47.3744489, 8.5410422)]",Snowmelt and rainfall,CRED (2023); Barredo (2007); Brakenridge (2022); Hilker et al. (2009),2,630
1464,1999,Switzerland,47.425618,9.3762397,12.05.1999,29.05.1999,River,"[(47.425618, 9.3762397)]",Snowmelt and rainfall,CRED (2023); Barredo (2007); Brakenridge (2022); Hilker et al. (2009),2,630
1464,1999,Switzerland,47.5859649,9.1428769,12.05.1999,29.05.1999,River,"[(47.5859649, 9.1428769)]",Snowmelt and rainfall,CRED (2023); Barredo (2007); Brakenridge (2022); Hilker et al. (2009),2,630
6031,1999,Switzerland,46.6960615,9.6027351,26.09.1999,27.09.1999,River,"[(46.6960615, 9.6027351)]",Heavy rainfall up to 400 mm in 2 days,Hegg et al. (2000),1,3
2879,2000,Switzerland,46.8382351,7.6004502,06.08.2000,06.08.2000,Flash,"[(46.8382351, 7.6004502)]",Extreme rainfall,Hegg et al. (2001),None,4
2879,2000,Switzerland,47.425618,9.3762397,06.08.2000,06.08.2000,Flash,"[(47.425618, 9.3762397)]",Extreme rainfall,Hegg et al. (2001),None,4
2879,2000,Switzerland,46.6960615,9.6027351,06.08.2000,06.08.2000,Flash,"[(46.6960615, 9.6027351)]",Extreme rainfall,Hegg et al. (2001),None,4
1465,2000,Switzerland,46.2303063,7.6605757,13.10.2000,16.10.2000,River,"[(46.2303063, 7.6605757)]",Heavy rainfall,Barredo (2007); Hilker et al. (2009); Hegg et al. (2001),3,672
1465,2000,Switzerland,46.3351913,8.7525902,13.10.2000,16.10.2000,River,"[(46.3351913, 8.7525902)]",Heavy rainfall,Barredo (2007); Hilker et al. (2009); Hegg et al. (2001),3,672
2880,2001,Switzerland,46.8382351,7.6004502,12.03.2001,12.03.2001,River,"[(46.8382351, 7.6004502)]",Heavy rainfall,Hegg et al. (2002),None,8
2881,2001,Switzerland,46.8382351,7.6004502,27.06.2001,28.06.2001,Flash,"[(46.8382351, 7.6004502)]",Extreme rainfall,Hegg et al. (2002),None,7
2881,2001,Switzerland,47.5092938,7.6588333,27.06.2001,28.06.2001,Flash,"[(47.5092938, 7.6588333)]",Extreme rainfall,Hegg et al. (2002),None,7
2882,2001,Switzerland,46.3351913,8.7525902,15.07.2001,15.07.2001,Flash,"[(46.3351913, 8.7525902)]",Extreme rainfall,Hegg et al. (2002),None,14
2883,2002,Switzerland,46.8382351,7.6004502,13.07.2002,17.07.2002,River,"[(46.8382351, 7.6004502)]",Heavy rainfall,Hegg et al. (2003),None,39
